Record Length,Analog:1400
Sample Interval,CH:0.0000000010000
Vertical Units,CH1:V CH3:V,,,
Vertical Scale,CH1:+1.000000E+00 CH3:+1.000000E+00,,,
Vertical Offset,CH1:+2.000000E-01 CH3:-3.500000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,0.1000000000,,,
Model Number,SDS1204X-E,,,
Serial Number,SDSMMEBQ3R3911,,,
Software Version,8.1.6.1.33,,,
Source,CH1,CH3
Second,Volt,Volt
+1.970000E-07,+3.240000E+00,+2.740000E+00
+1.980000E-07,+3.240000E+00,+2.780000E+00
+1.990000E-07,+3.200000E+00,+2.780000E+00
+2.000000E-07,+3.120000E+00,+2.780000E+00
+2.010000E-07,+3.040000E+00,+2.780000E+00
+2.020000E-07,+3.000000E+00,+2.740000E+00
+2.030000E-07,+2.960000E+00,+2.740000E+00
+2.040000E-07,+3.000000E+00,+2.740000E+00
+2.050000E-07,+3.000000E+00,+2.780000E+00
+2.060000E-07,+2.960000E+00,+2.860000E+00
+2.070000E-07,+2.960000E+00,+2.860000E+00
+2.080000E-07,+3.000000E+00,+2.900000E+00
+2.090000E-07,+2.920000E+00,+2.900000E+00
+2.100000E-07,+2.880000E+00,+2.900000E+00
+2.110000E-07,+2.800000E+00,+2.900000E+00
+2.120000E-07,+2.720000E+00,+2.900000E+00
+2.130000E-07,+2.640000E+00,+2.860000E+00
+2.140000E-07,+2.600000E+00,+2.900000E+00
+2.150000E-07,+2.480000E+00,+2.940000E+00
+2.160000E-07,+2.480000E+00,+2.940000E+00
+2.170000E-07,+2.440000E+00,+2.940000E+00
+2.180000E-07,+2.360000E+00,+2.940000E+00
+2.190000E-07,+2.320000E+00,+2.940000E+00
+2.200000E-07,+2.280000E+00,+2.940000E+00
+2.210000E-07,+2.200000E+00,+2.980000E+00
+2.220000E-07,+2.120000E+00,+2.980000E+00
+2.230000E-07,+2.080000E+00,+2.980000E+00
+2.240000E-07,+2.040000E+00,+2.980000E+00
+2.250000E-07,+1.960000E+00,+2.980000E+00
+2.260000E-07,+1.880000E+00,+2.980000E+00
+2.270000E-07,+1.800000E+00,+2.980000E+00
+2.280000E-07,+1.760000E+00,+3.020000E+00
+2.290000E-07,+1.680000E+00,+3.020000E+00
+2.300000E-07,+1.640000E+00,+3.020000E+00
+2.310000E-07,+1.560000E+00,+3.020000E+00
+2.320000E-07,+1.480000E+00,+3.020000E+00
+2.330000E-07,+1.440000E+00,+3.020000E+00
+2.340000E-07,+1.320000E+00,+3.020000E+00
+2.350000E-07,+1.280000E+00,+3.020000E+00
+2.360000E-07,+1.240000E+00,+3.020000E+00
+2.370000E-07,+1.200000E+00,+3.020000E+00
+2.380000E-07,+1.080000E+00,+3.020000E+00
+2.390000E-07,+1.080000E+00,+3.020000E+00
+2.400000E-07,+1.040000E+00,+3.020000E+00
+2.410000E-07,+9.999999E-01,+3.020000E+00
+2.420000E-07,+9.200000E-01,+3.020000E+00
+2.430000E-07,+9.200000E-01,+3.020000E+00
+2.440000E-07,+8.400000E-01,+3.020000E+00
+2.450000E-07,+8.400000E-01,+2.980000E+00
+2.460000E-07,+8.000000E-01,+3.020000E+00
+2.470000E-07,+7.200000E-01,+3.020000E+00
+2.480000E-07,+7.200000E-01,+3.020000E+00
+2.490000E-07,+6.800000E-01,+3.020000E+00
+2.500000E-07,+6.400000E-01,+3.020000E+00
+2.510000E-07,+6.400000E-01,+3.020000E+00
+2.520000E-07,+6.000000E-01,+3.060000E+00
+2.530000E-07,+6.000000E-01,+3.020000E+00
+2.540000E-07,+5.600000E-01,+3.020000E+00
+2.550000E-07,+5.200000E-01,+3.020000E+00
+2.560000E-07,+5.200000E-01,+3.020000E+00
+2.570000E-07,+4.800000E-01,+3.020000E+00
+2.580000E-07,+4.800000E-01,+3.020000E+00
+2.590000E-07,+4.400000E-01,+3.020000E+00
+2.600000E-07,+4.400000E-01,+3.020000E+00
+2.610000E-07,+4.000000E-01,+3.020000E+00
+2.620000E-07,+4.000000E-01,+3.020000E+00
+2.630000E-07,+4.000000E-01,+3.020000E+00
+2.640000E-07,+3.600000E-01,+3.020000E+00
+2.650000E-07,+3.600000E-01,+3.020000E+00
+2.660000E-07,+3.200000E-01,+3.020000E+00
+2.670000E-07,+3.200000E-01,+3.020000E+00
+2.680000E-07,+3.200000E-01,+3.020000E+00
+2.690000E-07,+3.200000E-01,+2.980000E+00
+2.700000E-07,+3.200000E-01,+3.060000E+00
+2.710000E-07,+2.800000E-01,+3.060000E+00
+2.720000E-07,+2.800000E-01,+3.060000E+00
+2.730000E-07,+2.800000E-01,+3.060000E+00
+2.740000E-07,+2.400000E-01,+3.060000E+00
+2.750000E-07,+2.400000E-01,+3.060000E+00
+2.760000E-07,+2.400000E-01,+3.060000E+00
+2.770000E-07,+2.400000E-01,+3.060000E+00
+2.780000E-07,+2.000000E-01,+3.060000E+00
+2.790000E-07,+2.000000E-01,+3.060000E+00
+2.800000E-07,+2.000000E-01,+3.020000E+00
+2.810000E-07,+2.000000E-01,+3.020000E+00
+2.820000E-07,+1.600000E-01,+3.020000E+00
+2.830000E-07,+1.600000E-01,+3.020000E+00
+2.840000E-07,+1.600000E-01,+3.020000E+00
+2.850000E-07,+1.200000E-01,+3.020000E+00
+2.860000E-07,+1.200000E-01,+3.020000E+00
+2.870000E-07,+8.000000E-02,+3.020000E+00
+2.880000E-07,+8.000000E-02,+3.020000E+00
+2.890000E-07,+8.000000E-02,+2.980000E+00
+2.900000E-07,+3.999999E-02,+2.940000E+00
+2.910000E-07,+3.999999E-02,+2.900000E+00
+2.920000E-07,+3.999999E-02,+2.900000E+00
+2.930000E-07,+3.999999E-02,+2.820000E+00
+2.940000E-07,-1.490116E-08,+2.740000E+00
+2.950000E-07,-1.490116E-08,+2.700000E+00
+2.960000E-07,+3.999999E-02,+2.660000E+00
+2.970000E-07,+3.999999E-02,+2.620000E+00
+2.980000E-07,+3.999999E-02,+2.540000E+00
+2.990000E-07,+3.999999E-02,+2.500000E+00
+3.000000E-07,+3.999999E-02,+2.460000E+00
+3.010000E-07,+8.000000E-02,+2.420000E+00
+3.020000E-07,+8.000000E-02,+2.340000E+00
+3.030000E-07,+8.000000E-02,+2.300000E+00
+3.040000E-07,+8.000000E-02,+2.260000E+00
+3.050000E-07,+8.000000E-02,+2.180000E+00
+3.060000E-07,+8.000000E-02,+2.140000E+00
+3.070000E-07,+8.000000E-02,+2.100000E+00
+3.080000E-07,+8.000000E-02,+2.020000E+00
+3.090000E-07,+8.000000E-02,+1.940000E+00
+3.100000E-07,+8.000000E-02,+1.940000E+00
+3.110000E-07,+3.999999E-02,+1.900000E+00
+3.120000E-07,+3.999999E-02,+1.820000E+00
+3.130000E-07,+3.999999E-02,+1.780000E+00
+3.140000E-07,+3.999999E-02,+1.780000E+00
+3.150000E-07,+3.999999E-02,+1.700000E+00
+3.160000E-07,+3.999999E-02,+1.700000E+00
+3.170000E-07,+3.999999E-02,+1.620000E+00
+3.180000E-07,+3.999999E-02,+1.620000E+00
+3.190000E-07,+3.999999E-02,+1.580000E+00
+3.200000E-07,+3.999999E-02,+1.540000E+00
+3.210000E-07,+3.999999E-02,+1.500000E+00
+3.220000E-07,+3.999999E-02,+1.500000E+00
+3.230000E-07,+3.999999E-02,+1.460000E+00
+3.240000E-07,+3.999999E-02,+1.420000E+00
+3.250000E-07,+3.999999E-02,+1.420000E+00
+3.260000E-07,+3.999999E-02,+1.340000E+00
+3.270000E-07,+3.999999E-02,+1.340000E+00
+3.280000E-07,+3.999999E-02,+1.300000E+00
+3.290000E-07,+3.999999E-02,+1.260000E+00
+3.300000E-07,+3.999999E-02,+1.220000E+00
+3.310000E-07,+3.999999E-02,+1.180000E+00
+3.320000E-07,+3.999999E-02,+1.180000E+00
+3.330000E-07,+3.999999E-02,+1.100000E+00
+3.340000E-07,-1.490116E-08,+1.100000E+00
+3.350000E-07,-1.490116E-08,+1.140000E+00
